Education,Prior Experience,Company/Industry,Title,Tenure length,Location,Salary,Stock and/or recurring bonuses,Total comp
" bs in computer science, minor in biology", internships at hospitals and research institutions, non\-profit genetics sequencing and research, software engineer, 1.5 years," boston, ma", $102k, n/a, $102k  
 bs in cs         , 10 years total         , video games         , senior software engineer         , 2 months         ," santa monica, ca         "," $140,000         ", no stock or bonus plans.         , $140k.         
 ba in math and ba in cs,  2 fb internships , fb, software engineer, almost 3 years, ny, 187k, 275k/year, ~460k
 some college (dropout), 6 years, adtech (startup), engineer, 7 months," new york, ny"," $160,000", stock options (unsure of current valuation)," $160,000 (unless those options become valuable)"
 bs cs," 6 years, no big n", finance/tech,N/A, 1.5y, sf, 160k, 300k vesting this year, 460k
 ms in cs, none, big 4, principal software engineer, 8 years, nyc," $185,000"," $450,000"," $635,000"
 some unrelated college., 5 years., government contractor, software developer, 1 year, dc metro (md).," $90,000.", none.," $90,000."
 no degree, 18 years, cloud provider, staff software engineer, 18 years," remote, fl"," $160,000", $55k, $215k
 bs computer science from a florida university," no internships, no tech jobs, decade of retail. high school had some vocational program for itish work that i took (pc repair and networking, i put together and pulled apart 500+ computers in 4 years, fun times)"," finastra, a financial tech company (i'd suggest staying away for 3-5 years at least, right now it's not in a good place, but has some potential)",N/A, 3 years, dfw area," $55k at start, $62k after 18 months, $72k after 30months", bonus would be 10% of salary," $75k (salary + 401k). bonus hit once during tenure, might as well not exist."
 bs cs @ uc, 3.5 years industry experience, g, sr. swe, 8½ years, socal, 165k," 100k stock, 30k bonus", 295k
" bs in computer science, ms in computer science", 3 yrs internships & student jobs + 7 yrs professional experience, non-profit bio research, software engineer, 5 years," seattle, wa", $80k, n/a, $80k
 aa in cs," some informal, no formal", higher ed, senior web developer,N/A, boston area (95)," $100,000 ",N/A,N/A
 bs in psychology," 3 years, mix of small shops with bad pay, mid sized shops with bad tech, and now a small shop with good tech, good pay. no big tech companies. no internships. ", microsoft, software developer ii," 0, just accepted"," redmond, wa", 130k, 20k stock vested equally over next 4 years. possibilities for both cash and stock bonuses. , 162.5k first year
 non-cs bachelors," 4 years in non cs, 1.5 years in cs", finance    , senior software engineer         , 6 months         , nyc," $150,000         ", ~$40k, $190k
 bs in computer science, 5 years, law firm, software engineer, 2 years, new york city," $134,000"," 5% of annual salary into 401k, 401k match, end of year bonus equivalent to roughly a 2 week paycheck."," $145,000."
 bs in cs  , 2 years  ," non-tech, fortune 100  ", software developer  , 2 years  , seattle  , 93k  , 5k  , 98k  
 some college with a math focua, 10 years  , transportation/logistics/infrastructure, senior software engineer         , 1.5 yrs        ," seattle, wa"," $140,000         ", ~200k in stock vesting over 4yrs, $190k/yr
 bs computer engineering," 3y big4, 1year unicorn", older tech company,N/A, 1.5y, dc metro, 150k, 55k vesting this year, 205k
 ba in cs," 1 internship, joined this company after graduation", ad tech, software engineer, ~3 years, boston," $85,000", some stock option., $85k.
" bachelors in other area, self-taught software"," few years of bad jobs, 1.5 years sales, ~3 years engineering", big n - cloud provider, solution engineer," just accepted offer, moving from swe"," boston, ma", 91k + 1.5x/hr overtime over 40 hours / week," 39k, based on performance", ~120-130k depending on bonus/overtime
 bs cs         , 2 years (+1 year as intern), nlp, software engineer         , 3 months, dc metro area," $105,000", ~$20k stocks         , $125k
 bs cs  ," 5 years mostly consulting, no internships  "," ssas type company, rather large  ", sr. software engineer  , 1 year  , santa monica  , 120k  , ~20k in stock/~5k bonus  , 145k  
 bs in computer science  , 4 years at competitor  , government contracting  , senior consultant (web applications developer)  , 3 years  , rosslyn va  ," $110,800 (to be $123,300 in august)  "," $15,500 (to be $19,600 in august)  "," $126,300 ($142,900 for fy18)"
 b.sc. computer science," 2 years as a software developer, 2 internship terms", big 4 , sr. software development engineer,N/A, seattle," $160,000",N/A," ~$353,000 for 2018"
